ActivityID,ActivityName,onX
4,AUTO TOURING,0
5,BIKING,1
9,CAMPING,1
10,INTERPRETIVE PROGRAMS,0
11,FISHING,0
14,HIKING,1
15,HORSEBACK RIDING,1
16,HUNTING,1
26,WILDLIFE VIEWING,1
104,PHOTOGRAPHY,1
105,PADDLING,0
6,BOATING,0
103,ENVIRONMENTAL EDUCATION,1
18,OFF HIGHWAY VEHICLE,1
20,PICNICKING,1
23,RECREATIONAL VEHICLES,1
30,FIRE LOOKOUTS/CABINS OVERNIGHT,1
106,SWIMMING,0
109,HORSE CAMPING,1
25,WATER SPORTS,0
8,HISTORIC & CULTURAL SITE,0
24,VISITOR CENTER,0
107,DIVING,0
100002,MOUNTAIN BIKING,1
7,CLIMBING,1
22,WINTER SPORTS,1
38,OTHER RECREATION CONCESSION SITE,1
37,PLAYGROUND PARK SPECIALIZED SPORT SITE,1
44,HOTEL/LODGE/RESORT PRIVATELY OWNED,0
33,DOCUMENTARY SITE,0
39,OBSERVATION SITE,1
41,INFORMATION SITE,0
28,WILDERNESS,1
32,DAY USE AREA,1
40,HOTEL/LODGE/RESORT FS OWNED,0
34,SWIMMING SITE,0
108,SNORKELING,0